Logfile Generated: [2021-4-18 11:23:53]
#[2021-4-18 11:23:53]: Entropy Engine: Default Initalization.#
[2021-4-18 11:23:53]: Inializing GLFW!
[2021-4-18 11:23:53]: Createing Window: Sandbox (1280,720)
[2021-4-18 11:23:55] APP: MouseMovedEvent: 862, 103
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 863, 103
[2021-4-18 11:23:55] APP: MouseMovedEvent: 863, 103
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 873, 98
[2021-4-18 11:23:55] APP: MouseMovedEvent: 873, 98
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 876, 96
[2021-4-18 11:23:55] APP: MouseMovedEvent: 876, 96
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 889, 91
[2021-4-18 11:23:55] APP: MouseMovedEvent: 889, 91
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 907, 84
[2021-4-18 11:23:55] APP: MouseMovedEvent: 907, 84
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 912, 83
[2021-4-18 11:23:55] APP: MouseMovedEvent: 912, 83
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 917, 80
[2021-4-18 11:23:55] APP: MouseMovedEvent: 917, 80
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 925, 78
[2021-4-18 11:23:55] APP: MouseMovedEvent: 925, 78
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 929, 77
[2021-4-18 11:23:55] APP: MouseMovedEvent: 929, 77
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 932, 76
[2021-4-18 11:23:55] APP: MouseMovedEvent: 932, 76
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 939, 74
[2021-4-18 11:23:55] APP: MouseMovedEvent: 939, 74
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 943, 73
[2021-4-18 11:23:55] APP: MouseMovedEvent: 943, 73
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 950, 70
[2021-4-18 11:23:55] APP: MouseMovedEvent: 950, 70
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 963, 66
[2021-4-18 11:23:55] APP: MouseMovedEvent: 963, 66
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 966, 65
[2021-4-18 11:23:55] APP: MouseMovedEvent: 966, 65
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 975, 63
[2021-4-18 11:23:55] APP: MouseMovedEvent: 975, 63
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 981, 61
[2021-4-18 11:23:55] APP: MouseMovedEvent: 981, 61
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 985, 60
[2021-4-18 11:23:55] APP: MouseMovedEvent: 985, 60
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 988, 59
[2021-4-18 11:23:55] APP: MouseMovedEvent: 988, 59
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 994, 58
[2021-4-18 11:23:55] APP: MouseMovedEvent: 994, 58
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 998, 56
[2021-4-18 11:23:55] APP: MouseMovedEvent: 998, 56
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1004, 55
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1004, 55
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1014, 52
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1014, 52
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1022, 50
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1022, 50
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1028, 49
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1028, 49
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1031, 48
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1031, 48
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1036, 47
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1036, 47
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1040, 46
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1040, 46
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1050, 43
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1050, 43
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1061, 40
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1061, 40
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1067, 38
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1067, 38
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1069, 38
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1069, 38
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1074, 36
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1074, 36
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1083, 34
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1083, 34
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1089, 32
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1089, 32
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1090, 32
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1090, 32
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1092, 31
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1092, 31
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1097, 30
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1097, 30
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1099, 30
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1099, 30
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1100, 30
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1100, 30
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1102, 29
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1102, 29
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1115, 26
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1115, 26
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1116, 26
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1116, 26
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1117, 26
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1117, 26
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1118, 26
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1118, 26
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1118, 25
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1118, 25
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1120, 24
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1120, 24
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1121, 24
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1121, 24
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1122, 24
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1122, 24
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1125, 23
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1125, 23
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1126, 23
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1126, 23
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1127, 22
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1127, 22
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1128, 22
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1128, 22
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1128, 21
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1128, 21
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1132, 17
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1132, 17
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1133, 16
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1133, 16
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1134, 16
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1134, 16
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1134, 15
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1134, 15
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1135, 15
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1135, 15
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1136, 14
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1136, 14
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1140, 12
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1140, 12
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1142, 10
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1142, 10
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1145, 9
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1145, 9
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1148, 8
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1148, 8
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1148, 7
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1148, 7
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1149, 7
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1149, 7
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1150, 7
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1150, 7
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1152, 6
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1152, 6
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1157, 4
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1157, 4
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1159, 3
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1159, 3
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1160, 3
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1160, 3
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1162, 3
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1162, 3
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1166, 2
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1166, 2
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1171, 1
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1171, 1
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1173, 1
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1173, 1
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1174, 1
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1174, 1
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1178, 1
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1178, 1
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1179, 0
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1179, 0
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1180, 0
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1180, 0
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1182, 0
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1182, 0
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1184, 0
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1184, 0
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1186, 0
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1186, 0
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1187, 0
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1187, 0
[2021-4-18 11:23:55] EXAMPLE_LAYER: MouseMovedEvent: 1189, 0
[2021-4-18 11:23:55] APP: MouseMovedEvent: 1189, 0
[2021-4-18 11:23:55] APP: WINDOW_CLOSE
[2021-4-18 11:23:55] EXAMPLE_LAYER: WINDOW_CLOSE
#[2021-4-18 11:23:55]: Entropy Engine: Default Shutdown.#
Logfile Closed: [2021-4-18 11:23:55]
